IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE
"61.69.197.123","8/15/2019 3:46 AM","GMT","50.25","17.43","8","Sydney","0","multi"
"61.69.197.123","8/15/2019 11:31 AM","GMT","26.84","18.34","27","Sydney","0","multi"
"61.69.197.123","8/15/2019 11:32 AM","GMT","58.86","24.02","19","Sydney","0","multi"
"61.69.197.123","8/15/2019 11:52 AM","GMT","31.51","10.45","11","Chatswood","0","multi"
"61.69.197.123","8/15/2019 12:49 PM","GMT","10.99","1.58","11","Sydney","0","multi"
"61.69.197.123","8/15/2019 2:00 PM","GMT","2.37","1.40","11","Sydney","0","multi"
"61.69.197.123","8/15/2019 2:01 PM","GMT","2.78","1.13","16","Sydney","0","multi"
"61.69.197.123","8/15/2019 2:02 PM","GMT","7.84","5.29","13","Chatswood","0","multi"
"61.69.197.123","8/15/2019 2:28 PM","GMT","2.46","0.49","14","Sydney","0","multi"
"61.69.197.123","8/15/2019 2:29 PM","GMT","2.46","0.35","13","Sydney","0","multi"
